frac,Mean_HLL,Std_HLL,Mean_Exact,Std_Exact
0.2,19296.6,530.587,19362,16.3095
0.4,39344.7,1037.72,38540.4,32.4931
0.6,58584.4,1499.24,57633.4,37.2733
0.8,77612.8,893.438,76652.6,19.0079
1,95522.2,1700.01,95635.6,18.0638
