100 0.6805495168 -0.2794736538 0.9875000000 0.0455077099
600 0.8101779962 -0.1422305403 0.9708333333 0.0278620102
1100 0.8838305414 -0.0642514985 0.9738636364 0.0310703192
1600 0.9236029157 -0.0221428159 0.9656250000 0.0223477290
2100 0.9814727726 0.0391264312 0.9791666667 0.0366848600
2600 1.0133457092 0.0728716473 0.9759615385 0.0332914562
3100 1.0349370533 0.0957313098 0.9685483871 0.0254428417
3600 1.0370278352 0.0979449084 0.9659722222 0.0227153477
4100 1.0267524070 0.0870658812 0.9640243902 0.0206530962
4600 1.0440728613 0.1054037733 0.9619565217 0.0184637570
5100 1.0236837270 0.0838169409 0.9649509804 0.0216341161
5600 1.0121437967 0.0715991322 0.9629464286 0.0195118130
6100 1.0279963428 0.0883828882 0.9649590164 0.0216426242
6600 1.0326086825 0.0932661659 0.9630681818 0.0196407182
7100 1.0434179715 0.1047104140 0.9642605634 0.0209031427
7600 1.0336165594 0.0943332476 0.9623355263 0.0188650251
8100 1.0310265167 0.0915910606 0.9649691358 0.0216533380
8600 1.0185633134 0.0783957440 0.9622093023 0.0187313865
9100 1.0267002915 0.0870107043 0.9612637363 0.0177302760
9600 1.0056334378 0.0647063419 0.9625000000 0.0190391603
10100 1.0145674551 0.0741651610 0.9615099010 0.0179909009
10600 1.0070665357 0.0662236228 0.9606132075 0.0170415339
11100 0.9993655067 0.0580702200 0.9587837838 0.0151046462
11600 0.9940045899 0.0523943923 0.9581896552 0.0144756173
12100 0.9995319941 0.0582464872 0.9570247934 0.0132423292
12600 0.9907319497 0.0489295107 0.9564484127 0.0126320907
13100 0.9840879600 0.0418952399 0.9567748092 0.0129776604
13600 0.9779324990 0.0353781949 0.9566176471 0.0128112663
14100 0.9749716483 0.0322434179 0.9572695035 0.0135014141
14600 0.9782066930 0.0356684956 0.9571917808 0.0134191258
15100 0.9863782969 0.0443201157 0.9575331126 0.0137805080
15600 0.9815618031 0.0392206916 0.9562500000 0.0124220229
16100 0.9830830643 0.0408313146 0.9564440994 0.0126275240
16600 0.9809986581 0.0386244663 0.9564759036 0.0126611965
17100 0.9784676011 0.0359447300 0.9572368421 0.0134668341
17600 0.9838138714 0.0416050508 0.9574573864 0.0137003335
18100 0.9877904984 0.0458152728 0.9558701657 0.0120198764
18600 0.9915533283 0.0497991388 0.9551075269 0.0112124386
19100 0.9874839661 0.0454907342 0.9546465969 0.0107244327
19600 0.9836222244 0.0414021461 0.9541454082 0.0101938031
20100 0.9823710510 0.0400774762 0.9544154229 0.0104796791
20600 0.9854281492 0.0433141545 0.9544296117 0.0104947013
21100 0.9860365376 0.0439582808 0.9540284360 0.0100699598
21600 0.9857165621 0.0436195093 0.9539351852 0.0099712313
22100 0.9911299686 0.0493509101 0.9528846154 0.0088589489
22600 0.9842587197 0.0420760304 0.9527101770 0.0086742636
23100 0.9844188744 0.0422455929 0.9527056277 0.0086694471
23600 0.9862200626 0.0441525864 0.9530190678 0.0090012993
24100 0.9835090232 0.0412822952 0.9521265560 0.0080563596
24600 0.9856506940 0.0435497720 0.9524390244 0.0083871830
25100 0.9888690475 0.0469571780 0.9524402390 0.0083884690
25600 0.9862651201 0.0442002907 0.9527832031 0.0087515795
