500 61900 73300 57650 87150 45250 40000
600 123650 88650 69050 132800 107750 99950
700 171400 222550 167500 151850 120650 123250
800 218150 211600 154700 167550 124700 122650
900 135150 270750 199350 196400 85600 65650
1000 145150 167400 110150 110450 89700 92050
1100 164400 288150 265100 127200 82400 102750
1200 167150 168500 140550 144500 95750 100450
1300 200400 197400 146050 163700 114500 109500
1400 238450 444350 336650 228350 129850 119700
1500 249450 245650 178500 206450 132900 134450
1600 234100 242950 185850 199450 138550 137700
1700 502400 553800 487750 319500 276050 233400
1800 289400 274450 217350 290450 150000 156500
1900 495150 271600 227100 339650 176400 165650
2000 362750 300950 259550 269850 165600 167550
2100 355200 325150 246500 286900 225950 187600
2200 322350 681800 544850 318150 207550 183400
2300 413750 353650 287150 308600 184300 176600
2400 380200 359600 280500 333550 238750 201050
2500 399500 384900 304000 358250 250100 192350
2600 434600 456000 305450 383550 207500 216900
2700 457650 792950 351350 385800 255800 222600
2800 477800 418350 349200 408000 246800 481450
2900 489550 461800 364150 363050 295400 221600
3000 460300 431700 368400 429100 260050 264300
3100 539950 450200 640200 719500 295850 302700
3200 574300 562400 436950 463550 336000 308700
3300 561650 524850 420300 453950 325400 291050
3400 558500 474450 401450 421750 307500 301800
3500 599900 592000 502150 529100 346750 351950
3600 629750 622250 501850 523500 337450 334250
3700 655950 579200 430000 517600 323850 325000
3800 634050 640750 517450 598150 387300 371700
3900 669800 597250 549300 600350 349700 347450
4000 633650 633200 547450 583850 348300 344450
4100 719050 629650 605050 628150 406300 376100
4200 709050 1286700 553900 639250 818150 391500
4300 725600 681900 562850 1068700 352000 324100
4400 678350 683850 580750 647750 446900 473100
4500 792700 666150 592250 691800 423400 402550
4600 752400 740200 534450 604400 433250 439300
4700 830100 781700 699050 741050 464750 467150
4800 833200 1350250 556350 637150 392850 415300
4900 781250 827050 672450 644650 418300 447600
5000 876400 872250 638250 674100 443300 438500
5100 859200 795750 707300 786600 556600 447050
5200 1563350 1864550 799400 840200 538250 665850
5300 888650 832900 687950 746900 596250 515450
5400 967600 854950 666450 830050 474500 520600
5500 1016100 903750 708100 817550 1151100 584950
5600 952500 827150 731650 781550 531700 613400
5700 894750 805800 695650 793750 537350 520100
5800 1161350 975650 789350 873700 579650 539000
5900 956100 983250 820000 855700 555700 609950
6000 1103350 2097850 1725750 1465900 515550 559650
6100 1169050 988300 878250 904950 549150 526400
6200 1082550 918400 787800 930250 596600 1307200
6300 1117100 1058450 910700 926350 691000 623450
6400 1191250 1045950 854800 985500 1260250 599150
6500 1116100 1141800 891750 1001750 612350 706550
6600 1216850 2297600 888450 972550 643650 723550
6700 1273350 1186100 957700 1067050 658700 749350
6800 1296350 1003500 889700 1037350 662850 728950
6900 1132200 1104350 854450 948750 615500 609750
7000 1244500 1263050 842650 996650 650500 668400
7100 1241700 1179750 903400 1060350 685400 759500
7200 1304650 1194850 984250 1088900 922750 661700
7300 1289300 1249750 1011550 1122550 712050 775850
7400 1339450 1185750 984850 1094200 742250 1433350
7500 1489350 1178200 935150 1113900 680700 655700
7600 1338200 1197500 1035750 1246800 795600 789400
7700 1600650 2600450 917750 1098300 685000 661900
7800 1393350 1358200 958950 1166850 1213700 707800
7900 1369000 1350600 1146350 1253850 778700 768450
8000 1370300 1334550 1205600 1306000 821700 1743750
8100 2561550 1261650 1218650 1115650 902100 845550
8200 1665500 1603550 1074250 1352550 997350 845250
8300 1635250 1369450 1122250 1385850 879200 777300
8400 1526050 1360550 1130050 1341150 1744950 898300
8500 1585200 1453100 1066200 1365900 917800 922400
8600 1812200 1854400 1281100 1447750 832600 901100
8700 1763500 1626750 1246050 1299500 1085650 918700
8800 2794200 1570650 1086150 1282350 844000 862200
8900 1608550 1387850 1164900 1364800 874200 929200
9000 1558700 1513600 1336200 1438450 929700 868900
9100 1836700 1409900 1375200 1544000 935400 976750
9200 1621650 1727650 1331950 1429600 1170300 878550
9300 1784550 1523500 1299400 1512650 984000 956650
9400 2773600 1654550 1236550 1825050 1116250 1012600
9500 1847900 1533150 1311250 1592050 984650 895200
9600 1824800 1561800 1503750 1415400 835700 885750
9700 1772550 1672900 1366900 1640500 995550 946200
9800 1790950 1716350 1389950 1513500 1067850 1053500
9900 1860800 1733400 1412700 1563700 985950 1035550
10000 1785400 1612800 1514700 1566750 1055300 1086600
10100 1784700 1625000 1437750 1483150 1061800 1074350
10200 3115250 1844950 1647350 1559250 1010600 1011000
10300 1881350 1760950 1434600 1502350 1161300 2249000
10400 3395450 1724400 1540950 1732100 1091300 1161000
10500 1937400 1834350 1463650 1496950 948200 1494900
10600 2073400 1762000 1517250 1789650 1065400 1074000
10700 2010500 1894300 1444400 1757800 995600 1097000
10800 2036350 1882350 1553050 1701050 1240600 1186650
10900 2041350 1817550 1480200 1733250 1108900 2266650
11000 2037900 1866000 2826450 1758850 1154100 1099300
11100 1991400 1849250 1611950 1988800 2184850 1263050
11200 2335500 1975700 1705400 1986100 1138500 1138300
11300 2027150 2109350 1823950 1847250 1157500 1282450
11400 2262250 2029650 1677150 1711950 1183750 1161300
11500 2183350 1962550 1542650 1680450 1087350 1220100
11600 2116100 2153950 1522400 1706550 1220850 1313650
11700 2394550 2092800 1808400 1780400 1380750 1428350
11800 2460000 2132900 2301050 1964350 1214750 1281300
11900 2130800 1880700 1629500 1933700 1328000 1292600
12000 2146950 2258350 1877750 1933700 1250050 1372550
12100 2362500 2039600 1848050 2068550 1191350 1332850
12200 2371550 2519600 1713200 1907000 1286050 1454300
12300 2460550 2468450 1914300 2082650 1271100 1281350
12400 2276150 2160450 1951850 2253500 2739100 1301700
12500 2362300 2181400 1813800 2037600 2350350 1518050
12600 2618700 1910100 1721500 2320850 2394950 1323750
12700 2467300 4180650 1815250 2108750 1305050 1210700
12800 2363000 2211500 1799200 2262650 1395150 3016700
12900 2555400 2254100 1895850 2101900 1177200 1274650
13000 2488500 2459600 1932550 2190900 1408100 1393250
13100 2752550 2217550 1861750 2338600 1518000 1443200
13200 2665500 2231400 1772750 2135300 1346950 1434200
13300 2537750 2301850 1889850 2081800 1390950 1242300
13400 2423700 2505150 1970400 2225800 1435750 1354050
13500 2619300 2310750 1951450 2331200 1347750 1366450
13600 2631500 2043550 1740500 2285150 1662500 1777000
13700 2616550 2434700 1925950 2284650 1442900 1525650
13800 2868200 2530100 2026650 2217000 1664500 1453950
13900 2977000 2872400 2160000 2268700 1691400 1643950
14000 2777250 2470550 2053900 2268450 1436450 1670000
14100 2845050 2717650 1794000 2127800 1505450 1565800
14200 2747000 2285900 2027350 2462650 2505600 1590750
14300 2737650 2741800 1983650 2220950 1489900 1513750
14400 2741750 2537700 2240750 2331150 1475950 1639050
14500 2734550 2798400 2433000 2335400 1635200 1881400
14600 2813650 2556850 2117400 2700700 1582900 1710550
14700 2841800 2551450 2095650 2512900 1512650 1661650
14800 2742850 2477200 2120050 2320500 3051400 1795450
14900 2985900 2480750 2255450 2376550 1572700 1649750
15000 2798000 2496000 2226400 4409650 1438600 1578650
15100 2919650 2462900 2191700 2458300 1673400 1823350
15200 3373900 2642000 2231500 2736800 1909500 1654100
